exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:03:53.119,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:03:53.146,2026-03-30T14:04:22.095,28.949,1,1,Click on the images containing bicycles.,"[""Tlight (73).jpg"", ""Tlight (72).jpg"", ""Bicycle (747).jpg"", ""Bicycle (540).jpg"", ""Cross (70).jpg"", ""Bus (111).jpg"", ""Bicycle (601).jpg"", ""Cross (91).jpg"", ""Bicycle (63).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 6, 8]","[""Bicycle (747).jpg"", ""Bicycle (540).jpg"", ""Bicycle (601).jpg"", ""Bicycle (63).jpg""]",776,1,1,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:04:22.101,2026-03-30T14:04:39.918,17.817,2,1,Click on the images containing bicycles.,"[""Chimney (95).jpg"", ""Bicycle (165).jpg"", ""Bicycle (324).jpg"", ""Bicycle (294).jpg"", ""Bicycle (669).jpg"", ""Bicycle (513).jpg"", ""Stair (1462).jpg"", ""Cross (111).jpg"", ""Bridge (94).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 4, 5]","[""Bicycle (165).jpg"", ""Bicycle (324).jpg"", ""Bicycle (294).jpg"", ""Bicycle (669).jpg"", ""Bicycle (513).jpg""]",771,2,2,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:04:39.924,2026-03-30T14:04:49.510,9.586,3,1,Click on the images containing bicycles.,"[""Cross (53).jpg"", ""Bicycle (758).jpg"", ""Bus (22).jpg"", ""Stair (219).jpg"", ""Bicycle (486).jpg"", ""Car (110).jpg"", ""Bicycle (180).jpg"", ""Cross (22).jpg"", ""Bridge (59).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 4, 6]","[""Bicycle (758).jpg"", ""Bicycle (486).jpg"", ""Bicycle (180).jpg""]",768,3,3,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:04:49.517,2026-03-30T14:05:01.134,11.617,4,1,Click on the images containing bicycles.,"[""Chimney (116).jpg"", ""Hydrant (129).jpg"", ""Bridge (90).jpg"", ""Bicycle (766).jpg"", ""Car (112).jpg"", ""Tlight (107).jpg"", ""Bus (81).jpg"", ""Bicycle (450).jpg"", ""Bicycle (161).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (766).jpg"", ""Bicycle (450).jpg"", ""Bicycle (161).jpg""]",765,4,4,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:05:01.141,2026-03-30T14:05:12.653,11.512,5,1,Click on the images containing bicycles.,"[""Bridge (80).jpg"", ""Bicycle (637).jpg"", ""Palm (56).jpg"", ""Bicycle (543).jpg"", ""Bicycle (574).jpg"", ""Stair (889).jpg"", ""Chimney (124).jpg"", ""Tlight (7).jpg"", ""Hydrant (118).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 3, 4]","[""Bicycle (637).jpg"", ""Bicycle (543).jpg"", ""Bicycle (574).jpg""]",762,5,5,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:05:12.658,2026-03-30T14:05:24.638,11.98,6,1,Click on the images containing bicycles.,"[""Bicycle (634).jpg"", ""Hydrant (108).jpg"", ""Tlight (17).jpg"", ""Chimney (94).jpg"", ""Chimney (48).jpg"", ""Bicycle (436).jpg"", ""Stair (282).jpg"", ""Bicycle (344).jpg"", ""Bicycle (555).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (634).jpg"", ""Bicycle (436).jpg"", ""Bicycle (344).jpg"", ""Bicycle (555).jpg""]",758,6,6,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:05:24.642,2026-03-30T14:05:44.493,19.851,7,1,Click on the images containing bicycles.,"[""Bicycle (285).jpg"", ""Bicycle (212).jpg"", ""Bicycle (488).jpg"", ""Hydrant (96).jpg"", ""Tlight (70).jpg"", ""Car (122).jpg"", ""Palm (98).jpg"", ""Palm (64).jpg"", ""Tlight (9).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (285).jpg"", ""Bicycle (212).jpg"", ""Bicycle (488).jpg""]",755,7,7,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:05:44.501,2026-03-30T14:05:59.406,14.905,8,1,Click on the images containing bicycles.,"[""Bicycle (544).jpg"", ""Bicycle (421).jpg"", ""Bicycle (103).jpg"", ""Bus (77).jpg"", ""Hydrant (138).jpg"", ""Chimney (128).jpg"", ""Bicycle (610).jpg"", ""Bicycle (138).jpg"", ""Stair (1319).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 2, 6, 7]","[""Bicycle (544).jpg"", ""Bicycle (421).jpg"", ""Bicycle (103).jpg"", ""Bicycle (610).jpg"", ""Bicycle (138).jpg""]",750,8,8,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:05:59.413,2026-03-30T14:06:10.355,10.942,9,1,Click on the images containing bicycles.,"[""Bicycle (479).jpg"", ""Tlight (3).jpg"", ""Bicycle (533).jpg"", ""Bicycle (204).jpg"", ""Bicycle (46).jpg"", ""Bicycle (272).jpg"", ""Palm (126).jpg"", ""Cross (47).jpg"", ""Hydrant (94).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 3, 4, 5]","[""Bicycle (479).jpg"", ""Bicycle (533).jpg"", ""Bicycle (204).jpg"", ""Bicycle (46).jpg"", ""Bicycle (272).jpg""]",745,9,9,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:06:10.361,2026-03-30T14:06:21.899,11.538,10,0,Click on the images containing bicycles.,"[""Bicycle (262).jpg"", ""Bicycle (417).jpg"", ""Chimney (109).jpg"", ""Bicycle (736).jpg"", ""Chimney (62).jpg"", ""Tlight (2).jpg"", ""Bicycle (734).jpg"", ""Tlight (123).jpg"", ""Bicycle (325).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 6, 8]","[""Bicycle (262).jpg"", ""Bicycle (736).jpg"", ""Bicycle (734).jpg"", ""Bicycle (325).jpg""]",740,10,9,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:06:23.907,2026-03-30T14:06:35.218,11.311,11,1,Click on the images containing bicycles.,"[""Palm (67).jpg"", ""Bus (113).jpg"", ""Bicycle (389).jpg"", ""Bicycle (35).jpg"", ""Stair (1422).jpg"", ""Bicycle (370).jpg"", ""Bicycle (323).jpg"", ""Bicycle (227).jpg"", ""Bus (93).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 3, 5, 6, 7]","[""Bicycle (389).jpg"", ""Bicycle (35).jpg"", ""Bicycle (370).jpg"", ""Bicycle (323).jpg"", ""Bicycle (227).jpg""]",735,11,10,10,submit,
6f28985c2493423b8970bb3371166189,captcha_pre,204,18,male,2026-03-30T14:06:23.907,2026-03-30T14:06:35.224,11.317,11,,Click on the images containing bicycles.,[],[],[],[],735,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
6f28985c2493423b8970bb3371166189,q_pre_captcha,204,18,male,2026-03-30T14:06:35.236,2026-03-30T14:07:12.051,36.815,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""2"", ""captcha_task_enjoyment"": ""2"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_difficulty"": ""2"", ""general_captcha_liking"": ""2""}"
6f28985c2493423b8970bb3371166189,q_pre_idaq,204,18,male,2026-03-30T14:07:12.066,2026-03-30T14:11:10.165,238.099,,,,,,,,,,,,submit,"{""idaq_9"": ""1"", ""idaq_5"": ""5"", ""idaq_20"": ""8"", ""idaq_2"": ""5"", ""idaq_12"": ""8"", ""idaq_11"": ""2"", ""idaq_25"": ""9"", ""idaq_27"": ""5"", ""idaq_17"": ""2"", ""idaq_30"": ""6"", ""idaq_8"": ""6"", ""idaq_4"": ""6"", ""idaq_18"": ""6"", ""idaq_29"": ""9"", ""idaq_13"": ""2"", ""idaq_6"": ""8"", ""idaq_28"": ""4"", ""idaq_19"": ""7"", ""idaq_3"": ""2"", ""idaq_15"": ""2"", ""idaq_23"": ""2"", ""idaq_14"": ""2"", ""idaq_24"": ""3"", ""idaq_1"": ""2"", ""idaq_10"": ""1"", ""idaq_26"": ""3"", ""idaq_16"": ""6"", ""idaq_22"": ""2"", ""idaq_21"": ""2"", ""idaq_7"": ""2""}"
6f28985c2493423b8970bb3371166189,q_pre_2050,204,18,male,2026-03-30T14:11:10.179,2026-03-30T14:13:56.222,166.043,,,,,,,,,,,,submit,"{""2050_shelters"": ""2"", ""2050_hiking"": ""7"", ""2050_neurosurgery"": ""7"", ""2050_school"": ""3"", ""2050_art"": ""4"", ""2050_nursing_home"": ""3"", ""2050_other_worlds"": ""7"", ""2050_experiments"": ""3"", ""2050_crime"": ""8"", ""2050_sports"": ""9"", ""2050_flight_attendants"": ""7"", ""2050_rubbish_collectors"": ""9"", ""2050_police"": ""4"", ""2050_rights"": ""4"", ""2050_mannequins"": ""6""}"
50df7c99abe34469aeb1ccabf7da5de2,q_post_gators,204,1,male,2026-03-30T14:30:03.993,2026-03-30T14:31:45.924,101.931,,,,,,,,,,,,submit,"{""gators_16"": ""6"", ""gators_2"": ""6"", ""gators_12"": ""6"", ""gators_4"": ""3"", ""gators_20"": ""5"", ""gators_19"": ""7"", ""gators_15"": ""5"", ""gators_3"": ""5"", ""gators_13"": ""6"", ""gators_18"": ""5"", ""gators_6"": ""3"", ""gators_5"": ""5"", ""gators_9"": ""3"", ""gators_11"": ""5"", ""gators_14"": ""5"", ""gators_17"": ""5"", ""gators_1"": ""4"", ""gators_8"": ""6"", ""gators_7"": ""3"", ""gators_10"": ""5""}"
50df7c99abe34469aeb1ccabf7da5de2,q_post_specific,204,1,male,2026-03-30T14:31:45.937,2026-03-30T14:32:05.155,19.218,,,,,,,,,,,,submit,"{""robot_friendliness"": ""6"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""6"", ""conversation_interestingness"": ""5"", ""robot_empathy"": ""5"", ""robot_likeability"": ""5""}"
50df7c99abe34469aeb1ccabf7da5de2,captcha_post,204,1,male,2026-03-30T14:32:05.201,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
50df7c99abe34469aeb1ccabf7da5de2,captcha_post,204,1,male,2026-03-30T14:32:05.228,2026-03-30T14:32:20.354,15.126,1,1,Click on the images containing bicycles.,"[""Bicycle (590).jpg"", ""Bicycle (499).jpg"", ""Cross (104).jpg"", ""Cross (120).jpg"", ""Bicycle (262).jpg"", ""Bus (97).jpg"", ""Car (127).jpg"", ""Palm (137).jpg"", ""Palm (84).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (590).jpg"", ""Bicycle (499).jpg"", ""Bicycle (262).jpg""]",777,1,1,1000,submit,
50df7c99abe34469aeb1ccabf7da5de2,captcha_post,204,1,male,2026-03-30T14:32:20.360,2026-03-30T14:32:27.933,7.573,2,1,Click on the images containing bicycles.,"[""Bicycle (527).jpg"", ""Bridge (102).jpg"", ""Bridge (83).jpg"", ""Bicycle (773).jpg"", ""Bicycle (188).jpg"", ""Hydrant (32).jpg"", ""Tlight (67).jpg"", ""Bicycle (722).jpg"", ""Bicycle (668).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (527).jpg"", ""Bicycle (773).jpg"", ""Bicycle (188).jpg"", ""Bicycle (722).jpg"", ""Bicycle (668).jpg""]",772,2,2,1000,submit,
50df7c99abe34469aeb1ccabf7da5de2,captcha_post,204,1,male,2026-03-30T14:32:27.936,2026-03-30T14:32:34.178,6.242,3,,Click on the images containing bicycles.,"[""Stair (544).jpg"", ""Bicycle (619).jpg"", ""Bicycle (677).jpg"", ""Bicycle (478).jpg"", ""Car (115).jpg"", ""Chimney (71).jpg"", ""Tlight (129).jpg"", ""Bicycle (543).jpg"", ""Hydrant (91).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]",[],[],768,2,2,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
50df7c99abe34469aeb1ccabf7da5de2,captcha_post,204,1,male,2026-03-30T14:32:27.936,2026-03-30T14:32:34.183,6.247,3,,Click on the images containing bicycles.,[],[],[],[],768,2,2,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
